Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1012100,-,-,-,27.85,-82.38,0,2,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2016,1,1,0,30,0,0,21,0.112,0.6000000000000001,91.88,23,1020,N/A
2016,1,1,1,30,0,0,21,0.112,0.6000000000000001,98.09,22,1020,N/A
2016,1,1,2,30,0,0,21,0.112,0.6000000000000001,98.51,22,1020,N/A
2016,1,1,3,30,0,0,21,0.112,0.5,98.79,22,1020,N/A
2016,1,1,4,30,0,0,21,0.112,0.4,100,22,1010,N/A
2016,1,1,5,30,0,0,21,0.112,0.30000000000000004,100,21,1010,N/A
2016,1,1,6,30,0,0,21,0.112,0.5,100,21,1010,N/A
2016,1,1,7,30,0,0,21,0.112,0.7000000000000001,100,21,1010,N/A
2016,1,1,8,30,0,0,21,0.112,1,100,21,1010,N/A
2016,1,1,9,30,0,0,21,0.112,1.1,100,21,1010,N/A
2016,1,1,10,30,0,0,21,0.112,1.2000000000000002,100,21,1010,N/A
2016,1,1,11,30,0,0,20,0.112,1.3,100,20,1010,N/A
2016,1,1,12,30,12,0,21,0.112,1.6,100,21,1010,N/A
2016,1,1,13,30,52,557,21,0.112,1.9000000000000001,91.72,23,1020,N/A
2016,1,1,14,30,105,570,21,0.112,2,86.57000000000001,24,1020,N/A
2016,1,1,15,30,81,829,21,0.112,2.2,81,25,1020,N/A
2016,1,1,16,30,84,877,21,0.112,2.5,75.76,26,1010,N/A
2016,1,1,17,30,248,454,21,0.112,2.6,74.93,26,1010,N/A
2016,1,1,18,30,257,368,21,0.112,2.7,69.8,27,1010,N/A
2016,1,1,19,30,212,377,20,0.112,2.6,73.52,26,1010,N/A
2016,1,1,20,30,121,517,20,0.112,2.4000000000000004,77.68,25,1010,N/A
2016,1,1,21,30,73,406,20,0.112,1.9000000000000001,82.47,24,1010,N/A
2016,1,1,22,30,19,0,21,0.112,1.7000000000000002,95.11,23,1010,N/A
2016,1,1,23,30,0,0,21,0.112,2,95.57000000000001,22,1010,N/A
2016,1,2,0,30,0,0,21,0.107,2.3000000000000003,100,21,1010,N/A
