Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1008118,-,-,-,27.97,-82.58,0,2,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2015,1,1,0,30,0,0,15,0.07,4.5,100,15,1020,N/A
2015,1,1,1,30,0,0,14,0.07,4.2,97.34,15,1020,N/A
2015,1,1,2,30,0,0,14,0.07,4,100,14,1020,N/A
2015,1,1,3,30,0,0,14,0.07,3.8000000000000003,100,14,1020,N/A
2015,1,1,4,30,0,0,13,0.07,3.5,99.13,14,1020,N/A
2015,1,1,5,30,0,0,13,0.07,3.3000000000000003,98.2,14,1020,N/A
2015,1,1,6,30,0,0,13,0.07,3.2,100,14,1020,N/A
2015,1,1,7,30,0,0,13,0.07,3.4000000000000004,100,13,1020,N/A
2015,1,1,8,30,0,0,13,0.07,3.7,100,13,1020,N/A
2015,1,1,9,30,0,0,13,0.07,3.7,100,13,1020,N/A
2015,1,1,10,30,0,0,13,0.07,3.6,100,13,1020,N/A
2015,1,1,11,30,0,0,13,0.07,3.6,100,13,1020,N/A
2015,1,1,12,30,0,0,13,0.07,3.7,100,13,1020,N/A
2015,1,1,13,30,41,0,13,0.07,3.6,90.52,15,1020,N/A
2015,1,1,14,30,87,0,14,0.07,3.4000000000000004,84.19,17,1020,N/A
2015,1,1,15,30,217,50,15,0.07,3.3000000000000003,87.49,18,1020,N/A
2015,1,1,16,30,250,40,17,0.07,3.1,88.29,20,1020,N/A
2015,1,1,17,30,300,126,17,0.07,2.8000000000000003,87.46000000000001,21,1020,N/A
2015,1,1,18,30,275,278,18,0.07,2.5,84.38,21,1020,N/A
2015,1,1,19,30,222,324,18,0.07,2.2,86.44,21,1020,N/A
2015,1,1,20,30,142,6,18,0.07,1.9000000000000001,88.26,21,1020,N/A
2015,1,1,21,30,84,2,19,0.07,1.5,95.72,20,1020,N/A
2015,1,1,22,30,9,0,19,0.07,1.6,100,19,1020,N/A
2015,1,1,23,30,0,0,18,0.07,2.1,99.3,19,1020,N/A
2015,1,2,0,30,0,0,18,0.07,2.5,99.24000000000001,19,1020,N/A
2015,1,2,1,30,0,0,18,0.07,2.5,100,18,1020,N/A
2015,1,2,2,30,0,0,18,0.07,2.4000000000000004,100,18,1020,N/A
2015,1,2,3,30,0,0,18,0.07,2.4000000000000004,100,18,1020,N/A
2015,1,2,4,30,0,0,17,0.07,2.4000000000000004,100,17,1020,N/A
2015,1,2,5,30,0,0,17,0.07,2.5,100,17,1020,N/A
2015,1,2,6,30,0,0,17,0.07,2.7,100,17,1020,N/A
2015,1,2,7,30,0,0,17,0.07,2.8000000000000003,100,17,1020,N/A
2015,1,2,8,30,0,0,16,0.07,2.9000000000000004,100,16,1020,N/A
2015,1,2,9,30,0,0,16,0.07,3,100,16,1020,N/A
2015,1,2,10,30,0,0,16,0.07,3,100,16,1020,N/A
2015,1,2,11,30,0,0,16,0.07,3,100,16,1020,N/A
