Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1006442,-,-,-,27.97,-82.66,0,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2016,1,1,0,30,0,0,21,0.015,0.6000000000000001,99.38,23,1020,N/A
2016,1,1,1,30,0,0,21,0.015,0.6000000000000001,99.92,22,1020,N/A
2016,1,1,2,30,0,0,22,0.015,0.6000000000000001,100,22,1020,N/A
2016,1,1,3,30,0,0,22,0.015,0.5,100,22,1020,N/A
2016,1,1,4,30,0,0,21,0.015,0.4,100,22,1020,N/A
2016,1,1,5,30,0,0,21,0.015,0.30000000000000004,100,21,1010,N/A
2016,1,1,6,30,0,0,21,0.015,0.5,100,21,1010,N/A
2016,1,1,7,30,0,0,21,0.015,0.7000000000000001,100,21,1010,N/A
2016,1,1,8,30,0,0,21,0.015,1,100,21,1010,N/A
2016,1,1,9,30,0,0,21,0.015,1.1,100,21,1010,N/A
2016,1,1,10,30,0,0,21,0.015,1.2000000000000002,100,21,1010,N/A
2016,1,1,11,30,0,0,20,0.015,1.3,100,21,1010,N/A
2016,1,1,12,30,0,0,21,0.015,1.6,100,21,1010,N/A
2016,1,1,13,30,51,546,21,0.015,1.9000000000000001,98.34,22,1020,N/A
2016,1,1,14,30,107,552,21,0.015,2,92.76,23,1020,N/A
2016,1,1,15,30,210,345,21,0.015,2.2,87.08,24,1020,N/A
2016,1,1,16,30,257,348,21,0.015,2.5,81.58,25,1010,N/A
2016,1,1,17,30,255,425,21,0.015,2.6,76.24,26,1010,N/A
2016,1,1,18,30,277,267,21,0.015,2.7,75.55,26,1010,N/A
2016,1,1,19,30,208,397,21,0.015,2.6,79.83,25,1010,N/A
2016,1,1,20,30,133,462,21,0.015,2.4000000000000004,79.66,25,1010,N/A
2016,1,1,21,30,76,370,21,0.015,1.9000000000000001,84.34,24,1010,N/A
2016,1,1,22,30,16,160,21,0.015,1.7000000000000002,96.60000000000001,22,1010,N/A
2016,1,1,23,30,0,0,21,0.015,2,100,21,1010,N/A
2016,1,2,0,30,0,0,21,0.014,2.3000000000000003,100,21,1010,N/A
2016,1,2,1,30,0,0,20,0.014,2.5,100,20,1010,N/A
2016,1,2,2,30,0,0,20,0.014,2.9000000000000004,100,20,1010,N/A
2016,1,2,3,30,0,0,19,0.014,3.4000000000000004,100,19,1010,N/A
2016,1,2,4,30,0,0,19,0.014,3.7,100,19,1010,N/A
2016,1,2,5,30,0,0,18,0.014,3.8000000000000003,100,18,1010,N/A
2016,1,2,6,30,0,0,17,0.014,3.8000000000000003,100,18,1010,N/A
2016,1,2,7,30,0,0,16,0.014,3.6,97.13,17,1010,N/A
2016,1,2,8,30,0,0,16,0.014,3.7,94.04,17,1010,N/A
2016,1,2,9,30,0,0,15,0.014,4.2,97.94,17,1010,N/A
2016,1,2,10,30,0,0,15,0.014,4.6000000000000005,94.84,16,1010,N/A
2016,1,2,11,30,0,0,14,0.014,4.6000000000000005,90.22,16,1020,N/A
2016,1,2,12,30,0,0,13,0.014,4.3,86.33,16,1020,N/A
2016,1,2,13,30,78,25,13,0.014,4,84.14,16,1020,N/A
2016,1,2,14,30,120,0,13,0.014,3.6,74.13,18,1020,N/A
